"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 00:30","Ireland (IE)","3500.51","3678.00"
"01/01/2024 00:30 - 01/01/2024 01:00","Ireland (IE)","3533.43","3613.00"
"01/01/2024 01:00 - 01/01/2024 01:30","Ireland (IE)","3459.59","3828.00"
"01/01/2024 01:30 - 01/01/2024 02:00","Ireland (IE)","3416.14","3828.00"
"01/01/2024 02:00 - 01/01/2024 02:30","Ireland (IE)","3333.59","3769.00"
"01/01/2024 02:30 - 01/01/2024 03:00","Ireland (IE)","3257.10","3710.00"
"01/01/2024 03:00 - 01/01/2024 03:30","Ireland (IE)","3181.32","3661.00"
"01/01/2024 03:30 - 01/01/2024 04:00","Ireland (IE)","3149.79","3612.00"
"01/01/2024 04:00 - 01/01/2024 04:30","Ireland (IE)","3079.68","3579.00"
"01/01/2024 04:30 - 01/01/2024 05:00","Ireland (IE)","3020.97","3546.00"
"01/01/2024 05:00 - 01/01/2024 05:30","Ireland (IE)","2959.02","3528.00"
"01/01/2024 05:30 - 01/01/2024 06:00","Ireland (IE)","2923.56","3509.00"
"01/01/2024 06:00 - 01/01/2024 06:30","Ireland (IE)","2923.04","3538.00"
"01/01/2024 06:30 - 01/01/2024 07:00","Ireland (IE)","2911.76","3568.00"
"01/01/2024 07:00 - 01/01/2024 07:30","Ireland (IE)","2950.36","3638.00"
"01/01/2024 07:30 - 01/01/2024 08:00","Ireland (IE)","3012.44","3709.00"
"01/01/2024 08:00 - 01/01/2024 08:30","Ireland (IE)","3041.73","3736.00"
"01/01/2024 08:30 - 01/01/2024 09:00","Ireland (IE)","3111.43","3763.00"
"01/01/2024 09:00 - 01/01/2024 09:30","Ireland (IE)","3129.05","3775.00"
"01/01/2024 09:30 - 01/01/2024 10:00","Ireland (IE)","3138.27","3787.00"
"01/01/2024 10:00 - 01/01/2024 10:30","Ireland (IE)","3208.98","3837.00"
"01/01/2024 10:30 - 01/01/2024 11:00","Ireland (IE)","3325.81","3886.00"
"01/01/2024 11:00 - 01/01/2024 11:30","Ireland (IE)","3444.40","3998.00"
"01/01/2024 11:30 - 01/01/2024 12:00","Ireland (IE)","3580.49","4109.00"
"01/01/2024 12:00 - 01/01/2024 12:30","Ireland (IE)","3687.04","4177.00"
"01/01/2024 12:30 - 01/01/2024 13:00","Ireland (IE)","3790.66","4246.00"
"01/01/2024 13:00 - 01/01/2024 13:30","Ireland (IE)","3929.31","4281.00"
"01/01/2024 13:30 - 01/01/2024 14:00","Ireland (IE)","4037.30","4316.00"
"01/01/2024 14:00 - 01/01/2024 14:30","Ireland (IE)","4114.39","4327.00"
"01/01/2024 14:30 - 01/01/2024 15:00","Ireland (IE)","4156.11","4338.00"
"01/01/2024 15:00 - 01/01/2024 15:30","Ireland (IE)","4180.50","4329.00"
"01/01/2024 15:30 - 01/01/2024 16:00","Ireland (IE)","4192.28","4320.00"
"01/01/2024 16:00 - 01/01/2024 16:30","Ireland (IE)","4183.08","4352.00"
"01/01/2024 16:30 - 01/01/2024 17:00","Ireland (IE)","4210.84","4385.00"
"01/01/2024 17:00 - 01/01/2024 17:30","Ireland (IE)","4247.95","4553.00"
"01/01/2024 17:30 - 01/01/2024 18:00","Ireland (IE)","4358.99","4722.00"
"01/01/2024 18:00 - 01/01/2024 18:30","Ireland (IE)","4453.17","4875.00"
"01/01/2024 18:30 - 01/01/2024 19:00","Ireland (IE)","4475.37","5028.00"
"01/01/2024 19:00 - 01/01/2024 19:30","Ireland (IE)","4420.11","4986.00"
"01/01/2024 19:30 - 01/01/2024 20:00","Ireland (IE)","4327.71","4943.00"
"01/01/2024 20:00 - 01/01/2024 20:30","Ireland (IE)","4236.95","4853.00"
"01/01/2024 20:30 - 01/01/2024 21:00","Ireland (IE)","4130.82","4763.00"
"01/01/2024 21:00 - 01/01/2024 21:30","Ireland (IE)","4053.20","4630.00"
"01/01/2024 21:30 - 01/01/2024 22:00","Ireland (IE)","3955.46","4497.00"
"01/01/2024 22:00 - 01/01/2024 22:30","Ireland (IE)","3826.33","4362.00"
"01/01/2024 22:30 - 01/01/2024 23:00","Ireland (IE)","3694.17","4227.00"
"01/01/2024 23:00 - 01/01/2024 23:30","Ireland (IE)","3587.53","4081.00"
"01/01/2024 23:30 - 02/01/2024 00:00","Ireland (IE)","3478.66","3935.00"
"02/01/2024 00:00 - 02/01/2024 00:30","Ireland (IE)","3377.22","3910.00"
"02/01/2024 00:30 - 02/01/2024 01:00","Ireland (IE)","3328.26","3886.00"
"02/01/2024 01:00 - 02/01/2024 01:30","Ireland (IE)","3237.41","3939.00"
"02/01/2024 01:30 - 02/01/2024 02:00","Ireland (IE)","3178.72","3992.00"
"02/01/2024 02:00 - 02/01/2024 02:30","Ireland (IE)","3066.12","3860.00"
"02/01/2024 02:30 - 02/01/2024 03:00","Ireland (IE)","2987.51","3728.00"
"02/01/2024 03:00 - 02/01/2024 03:30","Ireland (IE)","2969.62","3699.00"
"02/01/2024 03:30 - 02/01/2024 04:00","Ireland (IE)","2961.58","3671.00"
"02/01/2024 04:00 - 02/01/2024 04:30","Ireland (IE)","2894.11","3660.00"
"02/01/2024 04:30 - 02/01/2024 05:00","Ireland (IE)","2881.77","3649.00"
"02/01/2024 05:00 - 02/01/2024 05:30","Ireland (IE)","2860.03","3641.00"
"02/01/2024 05:30 - 02/01/2024 06:00","Ireland (IE)","2845.65","3632.00"
"02/01/2024 06:00 - 02/01/2024 06:30","Ireland (IE)","2886.65","3667.00"
"02/01/2024 06:30 - 02/01/2024 07:00","Ireland (IE)","2926.67","3702.00"
"02/01/2024 07:00 - 02/01/2024 07:30","Ireland (IE)","3039.21","3836.00"
"02/01/2024 07:30 - 02/01/2024 08:00","Ireland (IE)","3238.27","3969.00"
"02/01/2024 08:00 - 02/01/2024 08:30","Ireland (IE)","3407.34","4093.00"
"02/01/2024 08:30 - 02/01/2024 09:00","Ireland (IE)","3615.46","4218.00"
"02/01/2024 09:00 - 02/01/2024 09:30","Ireland (IE)","3763.12","4273.00"
"02/01/2024 09:30 - 02/01/2024 10:00","Ireland (IE)","3910.21","4328.00"
"02/01/2024 10:00 - 02/01/2024 10:30","Ireland (IE)","4018.63","4434.00"
"02/01/2024 10:30 - 02/01/2024 11:00","Ireland (IE)","4122.66","4539.00"
"02/01/2024 11:00 - 02/01/2024 11:30","Ireland (IE)","4218.22","4622.00"
"02/01/2024 11:30 - 02/01/2024 12:00","Ireland (IE)","4275.50","4705.00"
"02/01/2024 12:00 - 02/01/2024 12:30","Ireland (IE)","4349.97","4759.00"
"02/01/2024 12:30 - 02/01/2024 13:00","Ireland (IE)","4405.89","4813.00"
"02/01/2024 13:00 - 02/01/2024 13:30","Ireland (IE)","4466.02","4840.00"
"02/01/2024 13:30 - 02/01/2024 14:00","Ireland (IE)","4503.72","4867.00"
"02/01/2024 14:00 - 02/01/2024 14:30","Ireland (IE)","4530.50","4874.00"
"02/01/2024 14:30 - 02/01/2024 15:00","Ireland (IE)","4513.80","4881.00"
"02/01/2024 15:00 - 02/01/2024 15:30","Ireland (IE)","4490.07","4885.00"
"02/01/2024 15:30 - 02/01/2024 16:00","Ireland (IE)","4484.29","4888.00"
"02/01/2024 16:00 - 02/01/2024 16:30","Ireland (IE)","4504.65","4924.00"
"02/01/2024 16:30 - 02/01/2024 17:00","Ireland (IE)","4500.31","4960.00"
"02/01/2024 17:00 - 02/01/2024 17:30","Ireland (IE)","4578.56","5087.00"
"02/01/2024 17:30 - 02/01/2024 18:00","Ireland (IE)","4672.24","5213.00"
"02/01/2024 18:00 - 02/01/2024 18:30","Ireland (IE)","4848.44","5335.00"
"02/01/2024 18:30 - 02/01/2024 19:00","Ireland (IE)","4938.93","5456.00"
"02/01/2024 19:00 - 02/01/2024 19:30","Ireland (IE)","4922.00","5386.00"
"02/01/2024 19:30 - 02/01/2024 20:00","Ireland (IE)","4817.20","5316.00"
"02/01/2024 20:00 - 02/01/2024 20:30","Ireland (IE)","4678.63","5203.00"
"02/01/2024 20:30 - 02/01/2024 21:00","Ireland (IE)","4613.82","5089.00"
"02/01/2024 21:00 - 02/01/2024 21:30","Ireland (IE)","4500.36","4973.00"
"02/01/2024 21:30 - 02/01/2024 22:00","Ireland (IE)","4368.98","4856.00"
"02/01/2024 22:00 - 02/01/2024 22:30","Ireland (IE)","4270.19","4710.00"
"02/01/2024 22:30 - 02/01/2024 23:00","Ireland (IE)","4138.57","4564.00"
"02/01/2024 23:00 - 02/01/2024 23:30","Ireland (IE)","4019.73","4365.00"
"02/01/2024 23:30 - 03/01/2024 00:00","Ireland (IE)","3863.93","4166.00"
"03/01/2024 00:00 - 03/01/2024 00:30","Ireland (IE)","3746.27","4138.00"
"03/01/2024 00:30 - 03/01/2024 01:00","Ireland (IE)","3715.79","4111.00"
"03/01/2024 01:00 - 03/01/2024 01:30","Ireland (IE)","3564.32","4078.00"
"03/01/2024 01:30 - 03/01/2024 02:00","Ireland (IE)","3470.63","4046.00"
"03/01/2024 02:00 - 03/01/2024 02:30","Ireland (IE)","3364.13","3904.00"
